account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,latest_churn_date,latest_reason_code,total_refund_usd,preceding_upgrade_flag,preceding_downgrade_flag,n_churn_events,ever_reactivated,is_churned,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,n_subscriptions,first_sub_start,n_upgrades,n_downgrades,n_tickets,avg_csat,avg_resolution_hrs,avg_first_response_min,n_escalations,total_usage,total_duration_secs,total_errors,n_features_used,active_days,beta_usage,signup_month,lifetime_days,lifetime_months
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,2024-12-09,unknown,136.94,False,False,2.0,False,1,0,0,annual,True,7,2024-10-12,0,1,0.0,,,,0.0,324,98113,20,23,30,2,2024-10,58.0,1.9053876478318001
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,2024-04-28,competitor,0.0,False,False,3.0,False,1,5174,62088,annual,True,9,2023-07-18,2,0,5.0,4.188765957446809,34.0,59.6,0.0,488,150708,19,27,44,2,2023-03,285.0,9.362680683311432
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,,,0.0,0,0,0.0,0,0,931,11172,annual,True,9,2023-09-16,0,1,2.0,3.981276595744681,33.0,120.5,0.0,602,171366,31,30,57,7,2023-09,,
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,,,0.0,0,0,0.0,0,0,9751,117012,monthly,True,16,2023-06-03,3,0,4.0,4.74531914893617,49.75,119.0,0.0,791,237055,37,29,70,7,2023-04,,
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,2024-07-22,unknown,0.0,False,False,1.0,False,1,494,5928,monthly,True,10,2023-12-26,0,0,4.0,3.985957446808511,34.0,126.5,0.0,538,185729,44,27,51,6,2023-10,209.0,6.865965834428383
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,2024-03-04,features,0.0,False,False,1.0,False,1,3980,47760,monthly,True,7,2024-01-26,1,0,2.0,3.5,61.5,27.0,0.0,329,105214,12,22,32,5,2023-09,38.0,1.2483574244415243
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,2024-11-30,features,0.0,False,False,1.0,False,1,1666,19992,monthly,False,10,2024-10-02,2,1,5.0,3.9850212765957442,24.8,102.8,1.0,540,175427,23,29,54,5,2024-10,59.0,1.938239159001314
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,,,0.0,0,0,0.0,0,0,3184,38208,monthly,True,7,2023-08-18,2,1,5.0,3.7925106382978724,45.4,91.8,0.0,424,124978,30,21,39,2,2023-07,,
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,2024-09-01,features,228.75,False,False,2.0,False,1,2786,33432,monthly,True,11,2024-07-01,0,0,3.0,3.3270921985815605,43.0,84.0,0.0,651,186929,32,34,61,7,2024-06,62.0,2.0367936925098555
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,2023-07-12,features,0.0,False,False,1.0,False,1,285,3420,monthly,True,12,2023-08-07,2,0,6.0,3.9906382978723407,23.666666666666668,90.16666666666667,0.0,693,200177,27,32,60,5,2023-04,-26.0,-0.8541392904073587
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,2023-10-04,unknown,0.0,False,False,1.0,True,1,1813,21756,monthly,True,7,2023-06-12,2,0,1.0,4.0,27.0,49.0,0.0,385,125675,11,29,37,6,2023-03,114.0,3.7450722733245727
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,2024-11-29,unknown,98.48,False,True,1.0,False,1,0,0,annual,True,4,2024-06-17,0,0,7.0,4.4232218844984805,40.857142857142854,76.14285714285714,0.0,248,81119,13,16,24,3,2024-05,165.0,5.4204993429697765
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,,,0.0,0,0,0.0,0,0,95,1140,annual,True,9,2023-05-28,0,0,8.0,4.115638297872341,30.75,82.5,1.0,376,127515,31,27,39,3,2023-05,,
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,2024-11-12,pricing,0.0,False,False,1.0,False,1,0,0,annual,True,12,2024-07-12,2,1,4.0,3.9906382978723407,64.0,110.0,0.0,733,222582,53,35,68,4,2024-06,123.0,4.040735873850197
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,2024-12-24,support,8.47,True,False,1.0,False,1,980,11760,annual,True,6,2024-12-09,0,0,5.0,4.8,44.2,100.8,0.0,248,73517,10,17,24,4,2024-12,15.0,0.49277266754270693
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,,,0.0,0,0,0.0,0,0,2009,24108,monthly,True,11,2024-10-28,0,1,5.0,3.9962553191489363,27.2,109.4,0.0,647,195598,33,33,58,4,2024-10,,
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,2024-11-25,features,72.19,True,False,2.0,False,1,2842,34104,annual,True,12,2023-06-11,2,0,4.0,3.9953191489361704,20.0,108.5,0.0,706,207116,46,32,62,9,2023-05,533.0,17.509855453350852
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,,,0.0,0,0,0.0,0,0,0,0,monthly,True,7,2024-08-26,3,0,3.0,4.333333333333333,40.333333333333336,136.33333333333334,0.0,493,146301,31,26,45,5,2024-08,,
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,,,0.0,0,0,0.0,0,0,6766,81192,monthly,False,15,2023-03-27,2,0,1.0,3.0,36.0,135.0,0.0,734,227186,38,34,74,5,2023-03,,
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,2024-08-15,competitor,99.1,False,False,2.0,True,1,1715,20580,monthly,True,13,2023-07-19,4,0,2.0,4.5,12.0,78.0,0.0,666,215735,31,33,62,5,2023-03,393.0,12.910643889618921
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,2024-10-20,unknown,0.0,False,False,1.0,False,1,570,6840,monthly,True,13,2024-08-01,1,0,3.0,3.660425531914894,42.666666666666664,111.33333333333333,0.0,672,210327,36,28,64,4,2024-07,80.0,2.628120893561104
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,2024-05-07,pricing,0.0,True,False,1.0,False,1,6766,81192,annual,True,10,2024-04-30,2,0,3.0,4.6604255319148935,26.333333333333332,82.0,0.0,465,127997,19,29,46,7,2024-04,7.0,0.22996057818659657
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,2024-07-19,budget,0.0,False,False,1.0,False,1,686,8232,annual,True,11,2023-05-29,2,1,2.0,4.5,18.5,141.0,1.0,597,172764,31,27,59,3,2023-04,417.0,13.699080157687254
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,2024-03-22,budget,6.26,False,True,1.0,False,1,627,7524,annual,True,15,2024-04-11,3,1,5.0,4.192510638297873,22.4,67.4,0.0,693,203946,27,33,66,6,2024-02,-20.0,-0.657030223390276
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,2024-12-17,support,0.0,False,False,1.0,False,1,10746,128952,monthly,False,12,2024-11-01,0,0,4.0,3.7453191489361704,42.25,83.0,0.0,489,131835,21,28,47,3,2024-10,46.0,1.5111695137976346
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,2024-08-30,unknown,113.17,True,False,3.0,False,1,6368,76416,annual,True,13,2023-09-30,2,1,5.0,3.988765957446809,27.4,46.6,0.0,523,177958,24,27,48,5,2023-09,335.0,11.005256241787121
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,2024-06-27,budget,0.0,True,False,3.0,True,1,893,10716,annual,True,12,2024-04-02,1,1,2.0,3.4906382978723407,42.0,38.0,0.0,696,236693,60,34,72,5,2024-03,86.0,2.8252299605781865
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,2024-05-02,budget,0.0,False,False,1.0,False,1,2587,31044,monthly,True,16,2024-04-05,2,1,3.0,4.6604255319148935,47.333333333333336,87.66666666666667,0.0,746,204124,63,33,73,7,2024-03,27.0,0.8869908015768725
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,2024-08-21,support,0.0,False,False,1.0,False,1,1078,12936,monthly,True,11,2023-10-21,1,0,6.0,3.9875177304964544,23.333333333333332,100.5,0.0,514,169854,34,32,51,5,2023-04,305.0,10.019710906701707
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,2024-06-06,features,0.0,True,False,2.0,False,1,494,5928,monthly,False,8,2023-10-26,1,2,3.0,3.9875177304964544,50.333333333333336,93.66666666666667,0.0,375,127687,30,24,39,4,2023-08,224.0,7.35873850197109
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,2024-07-19,budget,7.58,True,False,3.0,True,1,798,9576,annual,True,8,2023-04-04,1,0,2.0,3.5,34.5,61.5,0.0,418,115325,22,26,38,6,2023-01,472.0,15.505913272010512
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,,,0.0,0,0,0.0,0,0,1764,21168,annual,True,16,2024-03-17,2,0,3.0,3.660425531914894,48.333333333333336,43.0,0.0,818,271358,27,37,76,10,2024-03,,
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,2023-07-21,competitor,0.0,False,False,1.0,True,1,0,0,annual,False,8,2023-11-14,1,0,3.0,3.981276595744681,42.666666666666664,75.33333333333333,0.0,399,110456,12,27,35,3,2023-07,-116.0,-3.8107752956636003
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,,,0.0,0,0,0.0,0,0,779,9348,annual,False,17,2024-07-22,2,1,4.0,4.24531914893617,35.25,37.25,0.0,924,261489,59,38,87,13,2024-07,,
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,2024-09-05,budget,0.0,False,False,1.0,False,1,0,0,monthly,False,13,2024-09-07,3,1,2.0,4.0,15.0,98.5,0.0,477,148106,25,28,48,5,2024-08,-2.0,-0.0657030223390276
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,2024-10-03,support,0.0,False,True,1.0,False,1,171,2052,annual,True,9,2023-06-23,3,1,3.0,3.9875177304964544,37.0,69.66666666666667,0.0,439,120226,17,25,38,3,2023-02,468.0,15.374507227332456
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,2024-10-12,pricing,0.0,False,False,1.0,False,1,784,9408,annual,True,12,2024-09-10,1,1,6.0,4.3270921985815605,28.5,78.83333333333333,0.0,565,187525,38,33,55,5,2024-09,32.0,1.0512483574244416
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,2024-04-12,competitor,0.0,False,False,1.0,False,1,779,9348,monthly,True,12,2023-06-03,1,0,6.0,3.660425531914894,26.833333333333332,80.5,0.0,464,150051,25,29,46,5,2023-05,314.0,10.315374507227332
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,2024-12-04,support,113.84,True,True,3.0,True,1,627,7524,annual,True,5,2024-09-27,0,0,4.0,3.75,17.0,65.25,0.0,295,102452,22,18,27,3,2024-09,68.0,2.2339027595269383
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,,,0.0,0,0,0.0,0,0,11741,140892,monthly,True,13,2024-06-29,0,0,5.0,4.388765957446809,30.2,102.6,0.0,729,220382,45,33,69,8,2024-06,,
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,2024-09-26,budget,0.0,False,False,1.0,False,1,13930,167160,annual,True,10,2023-11-29,1,0,5.0,3.988765957446809,39.4,62.6,0.0,511,173162,35,34,49,5,2023-11,302.0,9.921156373193167
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,2024-12-27,pricing,0.0,True,True,2.0,False,1,5771,69252,monthly,True,12,2024-10-26,3,4,5.0,4.192510638297873,24.2,56.8,0.0,599,168143,33,29,55,5,2024-10,62.0,2.0367936925098555
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,2024-09-25,support,41.17,True,False,3.0,False,1,8557,102684,annual,False,9,2024-04-19,2,0,5.0,3.7887659574468087,51.4,134.6,1.0,565,159213,45,28,55,5,2024-04,159.0,5.223390275952694
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,2024-11-03,features,0.0,False,False,1.0,True,1,361,4332,annual,False,14,2024-07-07,1,1,2.0,3.9906382978723407,45.0,82.0,0.0,528,149124,31,32,50,6,2024-07,119.0,3.9093298291721417
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,2024-01-20,support,0.0,False,False,2.0,False,1,7164,85968,monthly,True,11,2023-05-10,0,0,4.0,3.9906382978723407,29.5,135.5,0.0,396,123655,26,27,40,7,2023-03,255.0,8.377135348226018
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,,,0.0,0,0,0.0,0,0,1470,17640,annual,True,13,2024-07-11,1,0,5.0,4.596255319148936,35.4,63.0,0.0,692,196300,25,34,67,6,2024-07,,
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,2024-12-25,competitor,0.0,False,False,1.0,False,1,980,11760,annual,False,6,2024-12-05,1,0,2.0,3.9906382978723407,15.5,103.0,0.0,393,117237,13,27,36,2,2024-11,20.0,0.657030223390276
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,2024-09-04,features,27.92,False,False,2.0,False,1,9950,119400,monthly,True,12,2023-10-16,0,1,4.0,3.9953191489361704,33.5,156.5,0.0,597,196701,22,30,56,3,2023-09,324.0,10.64388961892247
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,2024-06-17,features,0.0,False,False,1.0,False,1,343,4116,annual,True,12,2023-10-14,1,0,1.0,4.0,72.0,105.0,0.0,545,183399,43,27,54,1,2023-10,247.0,8.114323258869907
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,,,0.0,0,0,0.0,0,0,7363,88356,annual,True,15,2024-12-06,2,0,2.0,4.490638297872341,39.0,167.0,0.0,689,206138,61,34,66,6,2024-12,,
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,,,0.0,0,0,0.0,0,0,0,0,annual,True,8,2023-04-17,0,0,3.0,3.9875177304964544,17.666666666666668,120.66666666666667,0.0,366,118465,20,23,36,7,2023-04,,
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,2024-03-24,support,0.0,False,False,1.0,True,1,5174,62088,annual,True,12,2023-12-29,0,0,3.0,3.654184397163121,36.666666666666664,51.666666666666664,0.0,581,181056,30,32,57,10,2023-12,86.0,2.8252299605781865
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,2024-04-30,pricing,0.0,False,False,1.0,False,1,2156,25872,annual,True,14,2024-03-28,0,0,3.0,4.3270921985815605,17.333333333333332,84.66666666666667,1.0,684,219304,28,31,68,5,2024-03,33.0,1.0840998685939554
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,2024-11-12,unknown,23.52,True,True,4.0,False,1,570,6840,monthly,True,12,2023-05-01,1,1,4.0,3.7359574468085106,33.75,98.25,0.0,511,150876,33,31,50,6,2023-04,561.0,18.429697766097238
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,,,0.0,0,0,0.0,0,0,1519,18228,annual,True,9,2023-04-02,1,0,1.0,3.981276595744681,51.0,128.0,0.0,451,151460,28,25,43,4,2023-02,,
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,2024-11-09,features,66.37,True,False,4.0,True,1,0,0,annual,True,8,2023-05-15,1,0,8.0,3.7382978723404254,41.25,59.75,1.0,538,158701,31,29,50,6,2023-05,544.0,17.871222076215506
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,2024-09-11,support,0.0,True,False,1.0,False,1,2744,32928,annual,True,10,2023-09-02,2,1,3.0,4.3270921985815605,37.333333333333336,74.0,0.0,455,124429,21,27,43,8,2023-08,375.0,12.319316688567673
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,,,0.0,0,0,0.0,0,0,1791,21492,annual,True,10,2024-03-02,2,0,4.0,4.490638297872341,28.5,61.0,0.0,335,96672,17,22,33,2,2024-02,,
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,2024-08-08,support,122.11,False,False,1.0,False,1,7562,90744,monthly,False,19,2023-07-15,2,0,3.0,3.993758865248227,35.666666666666664,128.33333333333334,0.0,993,281986,45,40,88,15,2023-07,390.0,12.81208935611038
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,2024-12-19,support,8.92,True,False,2.0,False,1,722,8664,monthly,True,8,2024-11-18,2,1,3.0,3.9875177304964544,26.666666666666668,107.33333333333333,0.0,461,147051,32,28,47,5,2024-11,31.0,1.0183968462549278
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,2024-08-09,features,0.0,False,False,2.0,True,1,9154,109848,monthly,True,8,2023-03-29,0,0,1.0,3.981276595744681,36.0,79.0,0.0,373,114563,16,25,37,1,2023-02,499.0,16.392904073587385
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,2024-12-27,features,0.0,False,False,2.0,False,1,722,8664,annual,True,16,2023-12-12,2,1,3.0,3.654184397163121,42.333333333333336,118.0,1.0,696,186928,26,37,70,7,2023-11,381.0,12.516425755584756
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,2023-12-08,budget,0.0,False,False,1.0,False,1,3184,38208,monthly,True,9,2024-01-11,1,0,7.0,3.8464437689969606,30.571428571428573,94.71428571428571,0.0,402,114217,17,25,39,3,2023-12,-34.0,-1.1169513797634691
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,,,0.0,0,0,0.0,0,0,0,0,annual,True,12,2024-10-20,0,0,6.0,3.5,39.833333333333336,82.5,0.0,626,185229,29,34,59,10,2024-10,,
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,,,0.0,0,0,0.0,0,0,8159,97908,monthly,True,7,2023-08-14,2,0,0.0,,,,0.0,404,115260,16,23,40,0,2023-01,,
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,2024-12-11,unknown,0.0,False,False,3.0,False,1,646,7752,monthly,True,8,2024-09-02,0,0,5.0,3.796255319148936,33.2,50.4,1.0,438,156949,22,28,43,2,2024-08,100.0,3.2851511169513796
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33,False,False,2024-12-24,unknown,16.89,False,False,3.0,False,1,0,0,monthly,True,9,2024-03-12,0,0,3.0,4.333333333333333,35.333333333333336,65.33333333333333,0.0,449,138265,28,31,45,7,2023-12,287.0,9.42838370565046
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,2024-08-20,features,0.0,False,False,2.0,False,1,2352,28224,monthly,True,14,2024-02-05,3,0,4.0,4.49531914893617,52.25,115.5,1.0,585,162007,24,25,57,5,2024-01,197.0,6.471747700394218
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32,False,False,2024-11-10,features,0.0,False,False,3.0,True,1,1083,12996,annual,True,5,2024-05-28,0,1,6.0,4.323971631205674,42.666666666666664,116.0,0.0,229,73603,15,17,21,3,2024-03,166.0,5.45335085413929
A-3a7284,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,2024-12-26,unknown,0.0,False,False,1.0,False,1,1519,18228,annual,True,12,2024-11-28,1,2,3.0,3.660425531914894,56.333333333333336,104.33333333333333,0.0,609,191562,30,33,59,9,2024-11,28.0,0.9198423127463863
